label,Mean,Std
Third Trimester GA at test,30.285226909463084,3.2562281064223457
Third Trimester EFW1,1558.5016157718119,908.7827385969249
Third Trimester EFW2,1520.300860738255,426.39798037037946
Third Trimester MAP,86.37490492169462,10.130518128345235
Third Trimester UtAPI -Abdominal,0.7134756711409396,0.2598318293157257
Third Trimester PLGF,508.77568791946317,459.9583826472558
Third Trimester PAPPA,67.03857718120805,80.141023073041
Third Trimester SFLT1,5098.010201342282,4602.367668746288
Third Trimester SFLT1/PLGF,20.825967761120808,30.585712663708545
Third Trimester WBC,10.123674496644297,7.328639926748111
Third Trimester RBC,3.848708053691275,0.4648368863103871
Third Trimester HB,11.765637583892618,4.632377275693244
Third Trimester Platelets,219.36409395973155,51.426137682415494
Third Trimester Glucose,78.10503355704698,11.885255719687441
Third Trimester EFW Total,1533.3332852348994,571.6921521047752
second trimester GA.2nd,21.35896212850671,0.9962491882147348
second trimester EFW1,419.5251677852349,79.84984463810957
second trimester EFW2,412.01761744966444,87.10740848196703
second trimester MAP,85.57939597315436,7.601995144175265
second trimester UtAPI -Abdominal,0.8508682885906039,0.3964485627888433
second trimester PLGF,596.0620134228187,340.6300978757334
second trimester pAPPA,80.1091812080537,59.210340343541716
second trimester SFLT1,2846.740613348993,2193.3774103925402
second trimester sflt1/PlGf,6.706895137555369,10.467759297843807
second trimester WBC,9.742550335570469,2.035026146085496
second trimester RBC,3.770231543624161,1.4782776675898592
second trimester HB,14.186543624161075,8.59487443636939
second trimester Platelets,246.93624161073825,57.23329710303181
second trimester Glucose,81.37214765100671,14.206435684248262
second trimester EFW Total,414.9140100671141,77.46205940225715
First trimester PreTwin.ID,641.8808724832214,440.7335491110144
First trimester Chorionicity,,
First trimester MA,34.30574584092282,4.970139848634184
First trimester GA.1st,12.622698945302014,0.6414622897113523
First trimester CRL1,64.15906040268456,9.192171044597131
First trimester CRL2,63.85068791946308,10.173018763787745
First trimester NT1,1.6403355704697986,0.9409479395675138
First trimester NT2,1.6217114093959732,0.5012856865443647
First trimester EFW1,65.40590516545302,10.820426644811924
First trimester EFW2,63.951822294127524,10.784500245650982
First trimester MAP,88.38835570469799,8.088771049730042
First trimester UtAPI -Abdominal,1.419778355704698,0.45227507894148206
First trimester UTP-PI-Transvaginal,1.5603741610738255,0.9442618006985812
First trimester BMI,25.511627704463088,7.571259730540687
First trimester PLGF,76.37976677852349,92.93044386327414
First trimester Family History of PE,0.03691275167785235,0.20557628714760368
First trimester History of PE,,
First trimester History of IUGR,,
First trimester History of GDM,,
First trimester Placenta Abruption,,
First trimester WBC,9.201610738255033,2.4958243159847093
First trimester RBC,4.298657718120805,2.097732287165112
First trimester HB,12.985419463087247,8.835644653039688
First trimester Platelets,252.02214765100672,60.367542565418354
First trimester Glucose,79.55025167785234,11.880777977024184
First trimester Aspirin,118.48825503355705,57.4810870235721
First trimester Recommendation,8.513422818791947,35.635102891432226
First trimester cffDNA,14.455033557046981,3.1515456150870644
First trimester Ethniicty,1.4043624161073827,1.2367069404567965
First trimester Patient code,534.6493288590603,454.1889328916931
First trimester A,,
First trimester AB,,
First trimester B,,
First trimester O,,
First trimester EFW Total,64.68478046038591,10.060224536902584
maternal and newborn data Caucasian,,
maternal and newborn data Spontaneous,,
maternal and newborn data Nulliparous,,
maternal and newborn data DM,,
maternal and newborn data Asthma,,
maternal and newborn data Hypo-thyroidism,,
maternal and newborn data Hyper-thyroidism,,
maternal and newborn data Cardio vascular,,
Outcome GA.delivery,34.73883029724832,6.593101652491506
Outcome mAP,70.2302628632718,41.55427457501569
Outcome WBC,52.340100671140945,765.3025172806061
Outcome RBC,2.740989932885906,2.1680894675949065
Outcome Hg,8.520687919463088,8.505716969842226
Outcome Platelets,154.10469798657718,91.86000461423674
Outcome Glucose,60.64463087248322,42.031263787828216
Outcome AST,11.838926174496644,24.955885135048778
Outcome ALT,10.644295302013424,33.944254305291935
Outcome LDH,88.88036912751677,175.31602548677978
Outcome Uric Acid,1.5748657718120807,2.885869964461578
Outcome Protein,225.91075503355705,1099.6475805874747
Outcome dipstick,0.03523489932885906,0.3017289861182025
Outcome 24h protein,118.28171140939597,717.5657305797442
Outcome Mode of delivery Fetus A,,
Outcome Mode of Delivery Fetus B,0.016778523489932886,0.31150267637872103
Outcome Birthweight Fetus A,2321.530201342282,597.9767291048759
Outcome Birthweight Fetus B,2234.565100671141,690.1758762259946
Outcome IUGR A,,
Outcome IUGR B,,
Outcome Preeclampsia,,
Outcome GDM,,
Outcome Gestational Diabetes diagnosed by,0.1493288590604027,0.5176575588432492
Outcome Pregestational Diabetes,,
Outcome Diet only,,
Outcome Insulin,,
Outcome Metformin,,
Outcome Other Drugs,,
Outcome GDM.1,,
Outcome Preeclampsia.1,,
Outcome Gender1 Fe1=0,,
Outcome NICU1,3.9949664429530203,13.002773639278214
Outcome Apgar1.1,7.709731543624161,2.360462770663745
Outcome Apgar1.5,8.79026845637584,2.418740991016286
Outcome Gender2,,
Outcome NICU2,4.303691275167785,12.947754584892175
Outcome Apgar2.1,7.375838926174497,2.6884703119711966
Outcome Apgar2.5,8.37248322147651,2.847142899938717
